"","x"
"1",0.005
"2",5.17885714285714
"3",3.4748
"4",2.32442
"5",3.752705
"6",1.194875
"7",1.7642
"8",1.70438
"9",1.3653
"10",3.07665
"11",0.95828
"12",4.7468
"13",1.36425
"14",4.263
"15",1.3219
"16",0.94607
"17",0.979565
"18",1.033265
"19",0.98255
"20",1.012
"21",1.032355
"22",1.0011
"23",1.980125
"24",1.00075
"25",1.0477
"26",4.76055
"27",1.484065
"28",1.0013
"29",2.14775
"30",3.545925
"31",0.94665
"32",1.22882380952381
"33",0.932945
"34",1.20035
"35",0.8533
"36",2.53461
"37",1.0116
"38",1.059225
"39",1.143
"40",1.1912
"41",1.43825
"42",1.59314
"43",4.3721
"44",1.406075
"45",1.24774
"46",0.96695
"47",6.01772
"48",1.079135
"49",3.57085238095238
"50",5.49825
"51",0.8769
"52",0.9557
"53",0.9451
"54",1.17832
"55",0.99175
"56",4.4238
"57",1.0038
"58",0.98195
"59",2.03757
"60",1.07985
"61",1.73745
"62",0.9852
"63",0.5728
"64",0.72667
"65",0.849305
"66",1.05816
"67",1.07682
"68",1.39687619047619
"69",1.301385
"70",2.38133
"71",4.052885
"72",0.896235
"73",5.2387
"74",5.827995
"75",2.729075
"76",4.653355
"77",0.0455238095238095
